89.3	556	5.4	51.85
65.9	529	5.4	44.498
54.4	83.8	10	3.956
56.4	92	15.1	4.203
70.1	75.9	23.8	3.944
26.3	20.1	15.5	565
33.5	2	13.6	1.411
76.3	274	13.7	5.143
97.8	489	6.7	41.283
73.6	345	8.3	7.369
29	7.3	30	646
82.3	457	2.9	40.096
70.8	298	7.7	12.778
75.1	517	4.3	41.902
77.7	499	9.1	17.901
53.5	130	11.8	3.842
87.5	390	3.5	53.744
92.1	272	3.6	37.262
53	37.1	15.3	3.604
83.4	123	26.3	5.554
94	644	4.6	59.629
79.4	481	3.7	26.609
68.8	602	6.1	30.507
53.3	189	24.2	7.453
25.2	13.7	29.1	1.516
67	419	5.2	23.352
54.4	43.8	18.8	22.453
75.9	135	13.9	11.835
98.3	439	18.7	26.005
67.4	515	10	14.06
66.5	284	10.6	14.89
89.9	665	8.7	103.199
100	148	18.8	67.079
74	325	24	9.36
44.5	10.6	3.5	9.554
95.3	579	5.1	25.214
59.7	61.8	18	3.063
79	191	12.3	8.555
44.9	113	12.5	1.901
33.6	5.4	20.3	1.269
45.7	47.5	23.9	4.63
89.9	466	3.4	45.283
58.5	16.6	15.3	2.12
80.2	472	3.8	70.392
38.3	13.4	14.2	1.468
66.3	102	10	13.654
78.3	43.9	13.9	6.199
60.6	451	10.3	12.316
73.9	233	18.9	8.929
27.8	1.6	32.1	729
54.4	201	8.7	9.465
66.3	49.4	21.1	4.343
53.6	140	8.6	14.938
43.4	17	27.2	960
55.5	215	10.4	5.376
100	117	3.6	52.961
53.8	307	6.6	16.499
49.7	522	6.4	21.32
81.4	423	10.6	57.436
66.1	227	19.1	6.333
49.2	66.6	36.2	5.899
66.6	86.8	24.4	3.73
72.9	104	8.9	10.743
69.5	148	13.5	2.194
53.4	118	5.8	5.182
44.5	8.6	10.5	2.924
84.1	538	4.8	43.169
79.3	481	5.1	38.128
58.7	343	9.2	12.095
63.8	262	11.9	6.629
73	427	6.1	18.286
89.4	127	12.4	13.576
73.8	521	3.3	79.242
85.7	462	2.8	51.165
18.3	19.9	17.4	3.887
63.5	41.3	20.1	5.93
67.6	412	7	17.633
64.3	112	25.1	5.261
82.4	276	9.5	27.539
54.6	144	11.5	4.931
93	453	4.7	38.917
